"title","link","category","starttime","endtime","location","chairs","session_text"
"The Trends in Art Book Publishing","http://conference.collegeart.org/programs/the-trends-in-art-book-publishing/","Events",2015-02-10 18:00:00,2015-02-10 20:00:00,"New York Public Library, Stephen A. Schwarzman Building, South Court Auditorium, Fifth Avenue at 42nd Street",NA,"Free and open to the public, but first come, first served.; The fundamental mission of a publisher is to make public. This panel, organized by Arezoo Moseni in collaboration with The Metropolitan Museum of Art, Phaidon Press, Siglio Press, Yale University Press and David Zwirner Books, delves into the current and future trends in art book publishing and investigates the circumstances making an art book groundbreaking and life-changing. The panel also tackles the myriad of possibilities advancing art book publishing in the commercial and academic marketplaces. Panelists include: Deborah Aaronson, Todd Bradway, Patricia Fidler, Lisa Pearson, and Mark Polizzotti. For more information: http://www.nypl.org/events/programs/2015/02/10/trends-art-book-publishing-deb- aranson-todd-bradway-patricia-fidler; Directions: Take the B, D, F, or M trains to 42 Street-Bryant Park and walk one block east."
"Catalogue Raisonné Scholars Association","http://conference.collegeart.org/programs/catalogue-raisonne-scholars-association/","Meetings",2015-02-11 07:30:00,2015-02-11 09:00:00,"Hilton New York, 2nd Floor, Gramercy B",NA,""
"Media Lounge Workshop: Imagining an Alternative School of Art","http://conference.collegeart.org/programs/media-lounge-workshop-imagining-an-alternative-school-of-art/","ARTspace",2015-02-11 09:00:00,2015-02-11 13:00:00,"New York Hilton, 2nd Floor, Gibson Room",NA,"OWS Arts & Labor | Alternative Economies Working Group; The economic and structural realities of art schools as they exist today can often be a source of anxiety and frustration for art students, faculty, and staff alike, so what might an alternative school of art look like? In this workshop the participants will familiarize themselves with over 30 alternative economic models that are in practice throughout the world today. After analyzing the current economic and structural issues apparent in our places of work and study, participants will be asked to imagine and consider the implications of using these alternative models to augment, remedy, or perhaps replace the current structure altogether.; About: Arts & Labor’s Alternative Economies Working Group is focused on researching alternative economic models that can be used to create and nurture more equitable and sustainable art worlds. Believing that vibrant creative communities come from the bottom up, they encourage relationships based on mutual aid rather than competition and advocate for cultural institutions rooted in a framework of social, economic, and environmental justice. More info at: www.artsandlabor.org/alternative-economies ; Facilitation: Melissa Liu, Daniel Tuss, Antonio Serna, Yana Dimitrova, and James Douglas Whitman."
"Driving from Adjunct to Full-Time Teaching: Making Your Part-Time Experiences Work for Your Search","http://conference.collegeart.org/programs/driving-from-adjunct-to-full-time-teaching-making-your-part-time-experiences-work-for-your-search/","Workshops",2015-02-11 09:00:00,2015-02-11 11:00:00,NA,NA,"Presenter: Susan Altman, Middlesex County College; Driving from job to job? Unsure about how to take the next step to a full-time position? This workshop will help you to use your varied experiences to reach your professional goals in academia. We will discuss many relevant issues regarding the job search including practical approaches to finding a full-time position, preparation of materials, preparing for interviews and how to maximize your adjunct experience and strengths. Whether you are a studio artist or art historian, working in a small or large department, this workshop will help you prepare for the next step in your career."
"Money Matters: The Art Market in Late Imperial and Modern China","http://conference.collegeart.org/programs/money-matters-the-art-market-in-late-imperial-and-modern-china/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 3rd Floor, Petit Trianon","Kuiyi Shen, Stanford University; Rui Zhang, Tsinghua University","Court Art from the Marketplace: Reconstructing the Pattern of Court Patronage in the Late Ming Period; Kayi Ho, University of California, Los Angeles; The Art Market and Neo-Traditionalism in Paintings of Early Republican Beijin; ongyun Yin, Ma; ean Collection; The Market as Imaginary in Post-Mao Chin; ane B. D; evoise, Asia Art Archive; Marketing Creation: How the Art Market Hijacked Contemporary Chinese Art; Francesca Dal Lago, independent scholar; Auction and the Formation of Contemporary Chinese Art Market; Rui Zhang, Tsinghua University; Discussant: Shengtian Zheng, Yishu: Journal of Contemporary Chinese Art; Julia F. Andrews, The Ohio State University"
"Mesoamerican Iconography: Interactions of Images and Texts, and Images as Texts","http://conference.collegeart.org/programs/mesoamerican-iconography-interactions-of-images-and-texts-and-images-as-texts/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Regent Parlor","George Scheper, Johns Hopkins University","Shapes in Space: Sculptural Narrative Systems in Formative Mesoamerica; Carolyn E. Tate, Texas Tech University; Tlamatinime or Tlacuiloque: Mexica Language Ideologies and the Role of the Painter-Scribe in Aztec Society; Stephanie Michelle Strauss, University of Texas at Austin; Chalchiuhtotoli? Annotating the Aztec Teixiptla in the Codex Telleriano-Remensis; Kristopher Tyler Driggers, University of Chicago; Indigenous Maps and the Power of Visual Persuasion in Colonial New Spain; Ana Pulido-Rull, University of Arkansas"
"Truth Telling and Parafiction: Practice and Theory","http://conference.collegeart.org/programs/truth-telling-and-parafiction-practice-and-theory/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Gramercy A","Monica Steinberg, The Graduate Center, City University of New York; Sarah S. Archino, Institut national d’histoire de l’art, Paris","The Museum as Para-Site; Carol Emmons, University of Wisconsin–Green Bay; Straight from the Jorse’s Mouth: The Archive, History-Writing, and the Dark Margin of Knowledge; Sara Callahan, Stockholm University; Political Prank Practice; Clark Stoeckley, Bloomfield College; Performativity and Parafiction: Between Mimicry and Camouflage,; Koizumi Meiro and the Kamikaze Video Performances; Ayelet Zohar, Tel Aviv University; 100% Factual: Mel Bochner and The Beach Boys; Jeffrey P. Thompson, Sewanee: The University of the South"
"Original Copies: Art and the Practice of Copying","http://conference.collegeart.org/programs/original-copies-art-and-the-practice-of-copying/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor South","Stephanie Porras, Tulane University","“A Miracle of a Copy”: Original Reproductions and Authentic Copies in the Holbein Dispute; Lena Bader, German Centre for the History of Art in Paris (DFK); Producing Reproducibility: John Flaxman’s Designs between Classicism and Commerce; Brigid von Preussen, Columbia University; “The Duplication of Genius”: Domenico Brucciani (1815–80) and the Authorship and Agency of Plaster Casts; Rebecca Jayne Wade, Henry Moore Institute; Remaking the Readymade: Marcel Duchamp and Man Ray’s Editioned Replicas; Adina Tamar Kamien-Kazhdan, The Israel Museum, Jerusalem; On Originality: Photography vs. Glass Painting in Twentieth-Century Senegal; Giulia Paoletti, Columbia University"
"Art + Speak: The State of English Language Education in Art Schools","http://conference.collegeart.org/programs/art-speak-the-state-of-english-language-education-in-art-schools/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor Center","Allison Yasukawa, Maryland Institute College of Art; Mark Augustine, School of the Art Institute of Chicago","Art Making as Language Learning: Bridging Studio Practice and Second Language Acquisition; Nancy Seidler, Pratt Institute; Dana Gordon, Pratt Institute; ESL and Studio Art Methodology: Cross-Training and Universal Design; Caitlin Morgan, The New School; Visua; PEAK, Visionar; HINK: MFA ESL Excavation of Self in Art; Gae Savannah, School of Visual Arts; Global Turn/Multimodal Turn: Language Lessons from Art and Design; Jennifer Liese, Rhode Island School of Design; Demystifying the Peer Group Critique; Julie Kierski, University of Illinois at Urbana-Champaign"
"Composite Art in the Colonies of Europe: Stealing, Smiting, Enshrining, Erasing, Recarving, and Recontextualizing","http://conference.collegeart.org/programs/composite-art-in-the-colonies-of-europe-stealing-smiting-enshrining-erasing-recarving-and-recontextualizing/","Sessions",2015-02-11 09:30:00,2015-02-11 12:00:00,"Hilton New York, 2nd Floor, Sutton Parlor North","Kaylee Spencer, University of Wisconsin–River Falls; Linnea H. Wren, Gustavus Adolphus College","The Ideology of Spolia in Early Modern Spain; Alejandra Gimenez-Berger, Wittenberg University; Was Ancient Art a Tool to Think about the Conquest of the Americas? A Study of Spoliation at Palenque, Mexico; Travis E. Nygard, Ripon College; Cacao Cave: A Proposed Source for the Image in the Historia Tolteca-Chichimeca; Elizabeth Katt, University of Nebraska–Lincoln; Mountains and Huacas: Recontextualizing the South American Landscape in The Virgin Mary of the Mountain; Kristi Marie Peterson, Florida State University"
